id,name,display_name,lat,lon,pt_stops_count,bike_infra_count,walkability_features_count,major_roads_count,pt_examples,bike_examples,walk_examples,roads_examples
15048390,North Hills East Neighborhood Council District,North Hills East,34.2326161,-118.4625011,59,61,1137,198,Nordhoff / Haskell | Plummer & Sepulveda | Plummer & Natick | Sepulveda & Plummer | Plummer & Natick,Nordhoff Street | Nordhoff Street | Nordhoff Street | Nordhoff Street | Nordhoff Street,,San Diego Freeway | Van Nuys Boulevard | Van Nuys Boulevard | San Diego Freeway | San Diego Freeway
15048391,North Hills West Neighborhood Council District,North Hills West,34.2351485,-118.4857186,46,21,486,108,Nordhoff/Woodley | Nordhoff/Woodley | Nordhoff/Hayvenhurst | Nordhoff/Hayvenhurst | Nordhoff/Petit,Woodley Avenue | Nordhoff Street | Woodley Avenue | Woodley Avenue | Woodley Avenue,,San Diego Freeway | San Diego Freeway | San Diego Freeway | San Diego Freeway | San Diego Freeway
15059477,Panorama City Neighborhood Council District,Panorama City,34.2286517,-118.4451755,71,62,550,156,Roscoe/Willis | Roscoe/Wakefield | Roscoe & Woodman | Woodman & Terra Bella | Woodman & Nordhoff,Chase Street | Nordhoff Street | Nordhoff Street | Nordhoff Street | Nordhoff Street,,Nordhoff Street | Roscoe Boulevard | Van Nuys Boulevard | Van Nuys Boulevard | Nordhoff Street
15059478,Mission Hills Neighborhood Council District,Mission Hills,34.2713002,-118.4529373,45,37,756,211,Brand & Hollister | Brand & Mott | San Fernando Mission & Mott | Mott & Workman | Huntington & Griffith,Rinaldi Street | Rinaldi Street | Laurel Canyon Boulevard | Woodman Avenue | Laurel Canyon Boulevard,,Golden State Freeway | Golden State Freeway | Golden State Freeway | Golden State Freeway | Golden State Freeway
15059522,Sylmar Neighborhood Council District,Sylmar,34.3083124,-118.4514186,41,37,151,75,Foothill / Bledsoe | Borden & Sayre | Borden & Astoria | Borden & Polk | Polk & Dronfield,Astoria Street | Polk Street | San Fernando Road Bike Path | Polk Street | Foothill Boulevard,Tyler Street | Tyler Street | Tyler Street | Astoria Street | Astoria Street,Foothill Freeway | Foothill Freeway | Foothill Freeway | Foothill Freeway | San Fernando Road
15339539,Van Nuys Neighborhood Council District,Van Nuys,34.1907345,-118.4505332,101,26,718,155,Van Nuys | Victory / Van Nuys (Metro 164) | Victory/Cedros | Van Nuys | Van Nuys,Alley 80777 | Van Nuys Boulevard | Van Nuys Boulevard | Van Nuys Boulevard | Van Nuys Boulevard,Erwin Street Mall,Victory Boulevard | Victory Boulevard | Victory Boulevard | Victory Boulevard | Victory Boulevard
15339540,Lake Balboa Neighborhood Council District,Lake Balboa,34.1912118,-118.4931452,73,73,659,140,Woodley | Balboa | Woodley | Balboa | Balboa,Metro G Line Bikeway | Balboa Boulevard | Victory Boulevard | Woodley Avenue | Hayvenhurst Avenue connector,Hayvenhurst Avenue,Sherman Way | Woodley Avenue | Woodley Avenue | Victory Boulevard | Sherman Way
15339541,Reseda,Reseda,34.2037901,-118.5404374,69,61,624,136,Reseda/Sherman | Sherman/Reseda | Reseda & Strathern (Southbound) | Reseda & Ingomar (Southbound) | Reseda & Saticoy (Southbound),Amigo Avenue | Valerio Bridge (Aliso Creek) | Hart Bridge (Aliso Creek) | Amigo Bridge | Reseda Boulevard,Hart Bridge (Aliso Creek) | Amigo Bridge | LAPD Officer James C. Beyea Memorial Walk | Aliso Creek (Vanowen Bridge) | Aliso Creek (Vanowen Bridge),Sherman Way | Sherman Way | Reseda Boulevard | Reseda Boulevard | Sherman Way
15339542,Northridge South Neighborhood Council District,Northridge South,34.2221591,-118.5336501,51,67,566,98,Reseda & Nordhoff | Nordhoff & Reseda | Roscoe/Lindley | Roscoe/Lindley | Northridge Metrolink Station,Roscoe Boulevard | Chase Bridge (Aliso Creek) | West University Drive | Reseda Boulevard | Reseda Boulevard,Arminta Bridge (Aliso Creek),Reseda Boulevard | Reseda Boulevard | Roscoe Boulevard | Roscoe Boulevard | Roscoe Boulevard
15339543,Northridge East Neighborhood Council District,Northridge East,34.2568239,-118.5105726,48,71,524,87,Zelzah / Chatsworth | Chatsworth/Zelzah | Balboa & Citronia | Balboa & Superior | Balboa & Lassen,White Oak Avenue | White Oak Avenue | White Oak Avenue | Louise Avenue | Louise Avenue,,Devonshire Street | Devonshire Street | Devonshire Street | Devonshire Street | Zelzah Avenue
15339544,Granada Hills South Neighborhood Council District,Granada Hills South,34.2641803,-118.5007291,38,47,226,100,Balboa & Mayall | Balboa & Mayall | Balboa & Devonshire | Balboa & Devonshire | Balboa & San Jose,Devonshire Street | Louise Avenue | Devonshire Street | Devonshire Street | Devonshire Street,,Balboa Boulevard | Ronald Reagan Freeway | Ronald Reagan Freeway | Ronald Reagan Freeway | Ronald Reagan Freeway
15339545,Northridge West Neighborhood Council District,Northridge West,34.2535248,-118.5501567,41,117,621,87,Reseda / Lassen | Reseda / Lassen | Plummer/Bellinger (Shirley) | Plummer/Shirley | Plummer/Tampa,Corbin Street | Limekiln Canyon Trail South | Lassen Street | Lassen Street | Reseda Boulevard,,Reseda Boulevard | Reseda Boulevard | Reseda Boulevard | Devonshire Street | Devonshire Street
15339546,Granada Hills North Neighborhood Council District,Granada Hills North,34.3006103,-118.5073097,10,11,142,20,Balboa & Jolette | Balboa & Pineridge | Balboa & Westbury | Balboa & Colven | Balboa & Lisette,Sesnon Boulevard | Balboa Boulevard | Balboa Boulevard | Balboa Boulevard | Balboa Boulevard,O'Melveny Nature Trail | Loop Trail | Grotto Trail | O'Melveny Nature Trail | O'Melveny Nature Trail,Balboa Boulevard | Balboa Boulevard | Balboa Boulevard | Balboa Boulevard | Balboa Boulevard
15899803,Arleta Neighborhood Council District,Arleta,34.243174,-118.429436,56,31,171,153,Los Angeles (Pacoima Center) | Los Angeles (Pacoima Center) | Woodman & Plummer | Woodman & Terra Bella | Woodman & Nordhoff,Plummer Street | Nordhoff Street | Osborne Street | Nordhoff Street | Nordhoff Street,,Nordhoff Street | Golden State Freeway | Golden State Freeway | Golden State Freeway | Golden State Freeway
15899804,Pacoima Neighborhood Council,Pacoima,34.2663229,-118.4065859,54,81,94,104,Van Nuys & San Fernando | Van Nuys & San Fernando | Van Nuys & Ralston | Van Nuys & Ralston | Van Nuys & Bradley,Van Nuys Boulevard | Glenoaks Boulevard | Glenoaks Boulevard | Glenoaks Boulevard | Van Nuys Boulevard,Bradley Avenue | Overlook Trail,Van Nuys Boulevard | Osborne Street | Foothill Boulevard | Osborne Street | Osborne Street
16741092,West Hills Neighborhood Council District,West Hills,34.2096098,-118.6354439,28,90,713,38,Fallbrook/Sherman | Fallbrook/Sherman | Sherman/Fallbrook | Sherman (Medical Center) | Medical Center,Platt Avenue | Royer Avenue | Ingomar Street | North Platt Avenue | Platt Avenue,,Valley Circle Boulevard | Valley Circle Boulevard | Valley Circle Boulevard | Roscoe Boulevard | Roscoe Boulevard
17307354,Los Feliz Neighborhood Council District,Los Feliz,34.1286081,-118.2985312,6,1,323,0,Griffith Observatory | Vermont Canyon & Commonwealth Canyon | Vermont Canyon & Mount Hollywood | Greek Theatre | Greek Theatre,Mount Hollywood Drive,Abandoned Pool Trail | Bee Rock Trail | Bee Rock Trail | Henry's Trail | Mineral Springs Trail,
18194737,Sherman Oaks Neighborhood Council District,Sherman Oaks,34.1492572,-118.4446675,41,83,410,131,Ventura & Kester | Ventura & Cedros | Ventura & Van Nuys | Van Nuys & Ventura | Moorpark & Van Nuys,Woodman Avenue | Woodman Avenue | Riverside Drive | Moorpark Street | Moorpark Street,The Buckley School Nature Trail | Oak Forest Canyon Trail,Van Nuys Boulevard | Ventura Freeway | Ventura Freeway | Ventura Freeway | Ventura Freeway
18284559,Encino Neighborhood Council District,Encino,34.1564268,-118.5046272,27,1,215,79,Encino Park and Ride | White Oak/Ventura | Ventura/Louise | Ventura/Amestoy | Ventura/Balboa,White Oak Avenue,,Balboa Boulevard | Ventura Freeway | Ventura Freeway | Ventura Freeway | Ventura Boulevard
18284560,Tarzana Neighborhood Council District,Tarzana,34.1562105,-118.5490233,0,9,159,0,,Mecca Avenue / Reseda Boulevard | Reseda Boulevard | Reseda Boulevard | Mecca Avenue / Reseda Boulevard | Reseda Boulevard,Corbin Canyon Trail,
18284570,Chatsworth Neighborhood Council District,Chatsworth,34.2571339,-118.6048777,37,46,393,80,Chatsworth | Chatsworth | Chatsworth | Chatsworth | Chatsworth,Canoga Avenue | Metro G Line Bikeway | Canoga Avenue | Canoga Avenue | Canoga Avenue,Chatsworth Street | Bannon Quarry Trail,Topanga Canyon Boulevard | Topanga Canyon Boulevard | Topanga Canyon Boulevard | Topanga Canyon Boulevard | Topanga Canyon Boulevard
18284571,Porter Ranch Neighborhood Council District,Porter Ranch,34.2878806,-118.5592008,0,68,170,15,,Porter Ranch Drive | Corbin Avenue | Tampa Avenue | Limekiln Canyon Trail North | Limekiln Canyon Trail North,Rinaldi Street | Rinaldi Street,Rinaldi Street | Rinaldi Street | Rinaldi Street | Rinaldi Street | Rinaldi Street
18302562,Winnetka Neighborhood Council District,Winnetka,34.2106154,-118.5754189,55,43,478,88,Roscoe/Irondale | Roscoe/Lurline | Roscoe/Mason | Roscoe/Mason | Roscoe/Oso,Winnetka Avenue | Winnetka Avenue | Winnetka Avenue | Winnetka Avenue | Winnetka Avenue,,De Soto Avenue | Sherman Way | Sherman Way | Sherman Way | Sherman Way
18302563,Canoga Park Neighborhood Council District,Canoga Park,34.2146219,-118.6015988,54,28,426,103,Roscoe | Roscoe | Saticoy/Variel | Roscoe | Saticoy/Canoga,Roscoe Boulevard | Metro G Line Bikeway | Metro G Line Bikeway | Roscoe Boulevard | Roscoe Boulevard,,Topanga Canyon Boulevard | De Soto Avenue | Roscoe Boulevard | Roscoe Boulevard | De Soto Avenue
18302564,Woodland Hills-Warner Center Neighborhood Council District,Woodland Hills-Warner Center,34.163131,-118.614793,38,42,514,79,Ventura/Topanga Canyon | Topanga Canyon/Ventura | Topanga Canyon/Ybarra | Avenue San Luis/Dunman | Avenue San Luis/Dunman,Miranda Street | Miranda Street | Farralone Avenue | Mariano Street | Hatteras Street,Cerrillos Trail | San Sebastian Trail,Ventura Freeway | Ventura Freeway | Ventura Freeway | Ventura Freeway | Ventura Freeway
18303949,Greater Valley Glen Neighborhood Council District,Greater Valley Glen,34.1866407,-118.4144391,51,38,688,66,Victory / Bellaire | Coldwater Canyon & Vose | Coldwater Canyon & Vanowen | Coldwater Canyon & Kittridge | Coldwater Canyon & Victory,Tujunga Wash Path | Tujunga Wash Path | Tujunga Wash Path | Tujunga Wash Path | Tujunga Wash Bike Path,Tujunga Wash Path | Tujunga Wash Path | Tujunga Wash Path | Tujunga Wash Path | Tujunga Wash Path,Victory Boulevard | Victory Boulevard | Hollywood Freeway | Hollywood Freeway | Hollywood Freeway
18303950,North Hollywood West Neighborhood Council District,North Hollywood West,34.2041704,-118.4135017,50,19,238,66,Los Angeles (Sherman Way - San Fernando Valley) | Los Angeles (Sherman Way - San Fernando Valley) | Coldwater Canyon & Strathern | Coldwater Canyon & Elkwood | Coldwater Canyon & Saticoy,Strathern Street | Tujunga Wash Path | Tujunga Wash Path | Tujunga Wash Path | Strathern Street,Tujunga Wash Path | Tujunga Wash Path | Tujunga Wash Path,Hollywood Freeway | Hollywood Freeway | Hollywood Freeway | Hollywood Freeway | Hollywood Freeway
18303951,North Hollywood Northeast Neighborhood Council District,North Hollywood Northeast,34.2036986,-118.3829272,66,122,164,123,Sherman/Laurel Canyon | Sherman/Radford | Saticoy/Laurel Canyon | Saticoy/Laurel Canyon | Laurel Canyon / Saticoy,Lankershim Boulevard | Sherman Way | Laurel Canyon Boulevard | Laurel Canyon Boulevard | Sherman Way,,Lankershim Boulevard | Sherman Way | Sherman Way | Laurel Canyon Boulevard | Laurel Canyon Boulevard
18303952,North Hollywood Neighborhood Council District,North Hollywood,34.1694729,-118.3786499,66,134,691,157,North Hollywood | Lankershim / Magnolia | North Hollywood | North Hollywood | Bay 5. Bus 501,Chandler Boulevard | Lankershim Boulevard | Oxnard Street | Burbank Boulevard | Colfax Avenue,Alley 90741,Hollywood Freeway | Lankershim Boulevard | Burbank Boulevard | Hollywood Freeway | Hollywood Freeway
18303953,Valley Village Neighborhood Council District,Valley Village,34.163285,-118.3956874,56,175,835,159,Laurel Canyon | Laurel Canyon / Moorpark | Laurel Canyon / Ventura Freeway | Laurel Canyon | Laurel Canyon,Colfax Avenue | Colfax Avenue | Riverside Drive | Laurel Canyon Boulevard | Riverside Drive,,Ventura Freeway | Hollywood Freeway | Ventura Freeway | Ventura Freeway | Ventura Freeway
18303954,Greater Toluca Lake Neighborhood Council District,Greater Toluca Lake,34.154927,-118.3622738,46,96,632,142,Magnolia / Vineland | Vineland / Magnolia | Magnolia / Biloxi | Magnolia / Biloxi | Magnolia / Cahuenga,Vineland Place | North Pass Avenue | Vineland Avenue | Vineland Avenue | North Pass Avenue,,Hollywood Freeway | Hollywood Freeway | Hollywood Freeway | Lankershim Boulevard | Hollywood Freeway
18303955,Studio City Neighborhood Council District,Studio City,34.137897,-118.3910959,45,35,272,66,Laurel Canyon & Ventura | Laurel Canyon / Moorpark | Ventura / Laurel Canyon | Ventura / Radford | Ventura / Carpenter,Tujunga Avenue | Tujunga Avenue | Laurelgrove Bridge (L.A. River) | LA Riverfront Greenway Bike Path | Tujunga Avenue,Dearing Mountain Trail | Dearing Mountain Trail | U-Vanu Trail | Torrey Pines Trail | Laurelgrove Bridge (L.A. River),Laurel Canyon Boulevard | Laurel Canyon Boulevard | Laurel Canyon Boulevard | Laurel Canyon Boulevard | Ventura Boulevard
